CoDeSys Trace
C:\Users\s182059\Desktop\31342-Introduction-to-programmable-logic-controllers-DTU\Uge9 - Coms\pou.pro
Zeit PLC_PRG.temperaturefloat PLC_PRG.rate 
48480 20.75 0.1000004 
48600 20.85 0.1000004 
48720 20.85 0.1000004 
48840 20.85 0.1000004 
48960 20.85 0.1000004 
49080 20.85 0.1000004 
49200 20.85 5.000019e-002 
49320 20.85 5.000019e-002 
49440 20.85 5.000019e-002 
49560 20.85 5.000019e-002 
49680 20.85 5.000019e-002 
49800 20.85 5.000019e-002 
49920 20.85 5.000019e-002 
50040 20.85 5.000019e-002 
50160 20.85 5.000019e-002 
50280 20.85 5.000019e-002 
50400 20.85 5.000019e-002 
50520 20.85 5.000019e-002 
50640 20.85 5.000019e-002 
50760 20.85 5.000019e-002 
50880 20.85 5.000019e-002 
51000 20.95 5.000019e-002 
51120 20.95 5.000019e-002 
51240 20.95 5.000019e-002 
51360 20.95 5.000019e-002 
51480 20.95 5.000019e-002 
51600 20.95 5.000019e-002 
51720 20.95 5.000019e-002 
51840 20.95 5.000019e-002 
51960 20.95 5.000019e-002 
52080 20.95 5.000019e-002 
52200 20.95 5.000019e-002 
52320 20.95 5.000019e-002 
52440 20.95 5.000019e-002 
52560 20.95 5.000019e-002 
52680 21.05 5.000019e-002 
52800 21.05 5.000019e-002 
52920 21.05 5.000019e-002 
53040 21.05 5.000019e-002 
53160 21.05 5.000019e-002 
53280 21.05 4.999924e-002 
53400 21.05 4.999924e-002 
53520 21.05 4.999924e-002 
53640 21.05 4.999924e-002 
53760 21.05 4.999924e-002 
53880 21.05 4.999924e-002 
54000 21.05 4.999924e-002 
54120 21.05 4.999924e-002 
54240 21.05 4.999924e-002 
54360 21.05 4.999924e-002 
54480 21.05 4.999924e-002 
54600 21.05 4.999924e-002 
54720 21.05 4.999924e-002 
54840 21.05 4.999924e-002 
54960 21.05 4.999924e-002 
55080 21.05 4.999924e-002 
55200 21.15 4.999924e-002 
55320 21.15 5.000019e-002 
55440 21.15 5.000019e-002 
55560 21.15 5.000019e-002 
55680 21.15 5.000019e-002 
55800 21.15 5.000019e-002 
55920 21.15 5.000019e-002 
56040 21.15 5.000019e-002 
56160 21.15 5.000019e-002 
56280 21.15 5.000019e-002 
56400 21.15 5.000019e-002 
56520 21.15 5.000019e-002 
56640 21.15 5.000019e-002 
56760 21.25 5.000019e-002 
56880 21.25 5.000019e-002 
57000 21.25 5.000019e-002 
57120 21.25 5.000019e-002 
57240 21.25 5.000019e-002 
57360 21.25 5.000019e-002 
57480 21.25 5.000019e-002 
57600 21.25 5.000019e-002 
57720 21.25 5.000019e-002 
57840 21.25 5.000019e-002 
57960 21.25 5.000019e-002 
58080 21.25 5.000019e-002 
58200 21.25 5.000019e-002 
58320 21.25 5.000019e-002 
58440 21.25 5.000019e-002 
58560 21.25 5.000019e-002 
58680 21.25 5.000019e-002 
58800 21.25 5.000019e-002 
58920 21.25 5.000019e-002 
59040 21.25 5.000019e-002 
59160 21.25 5.000019e-002 
59280 21.35 5.000019e-002 
59400 21.35 5.000019e-002 
59520 21.35 5.000019e-002 
59640 21.35 5.000019e-002 
59760 21.35 5.000019e-002 
